stops,measured_Z8_HLG_IRE,source_chart_HLG_theory_IRE,calibrated_BT2100_HLG_IRE,final_reverse_curve_IRE,region
-8.80000000,3.1204033010,1.7511268587,1.7069317229,0.9147220615,shadow_linear_connection
-8.78000000,3.1204033010,1.7641196280,1.7188043720,0.9274911056,shadow_linear_connection
-8.76000000,3.1204033010,1.7770587150,1.7307596018,0.9404383990,shadow_linear_connection
-8.74000000,3.1204033010,1.7895508589,1.7427979868,0.9535664298,shadow_linear_connection
-8.72000000,3.1204033010,1.8012027990,1.7549201055,0.9668777211,shadow_linear_connection
-8.70000000,3.1204033010,1.8116212744,1.7671265401,0.9803748311,shadow_linear_connection
-8.68000000,3.1204033010,1.8204130244,1.7794178772,0.9940603537,shadow_linear_connection
-8.66000000,3.1204033010,1.8241887220,1.7917947073,1.0079369192,shadow_linear_connection
-8.64000000,3.1204033010,1.8252677152,1.8042576251,1.0220071942,shadow_linear_connection
-8.62000000,3.1204033010,1.8347835846,1.8168072293,1.0362738830,shadow_linear_connection
-8.60000000,3.1204033010,1.8469895734,1.8294441230,1.0507397273,shadow_linear_connection
-8.58000000,3.1204033010,1.8614924209,1.8421689131,1.0654075073,shadow_linear_connection
-8.56000000,3.1204033010,1.8778988662,1.8549822112,1.0802800419,shadow_linear_connection
-8.54000000,3.1204033010,1.8958156486,1.8678846329,1.0953601893,shadow_linear_connection
-8.52000000,3.1204033010,1.9148495073,1.8808767979,1.1106508477,shadow_linear_connection
-8.50000000,3.1204033010,1.9346071815,1.8939593306,1.1261549558,shadow_linear_connection
-8.48000000,3.1204033010,1.9546954103,1.9071328596,1.1418754931,shadow_linear_connection
-8.46000000,3.1204033010,1.9747209330,1.9203980176,1.1578154810,shadow_linear_connection
-8.44000000,3.1204033010,1.9942904888,1.9337554422,1.1739779828,shadow_linear_connection
-8.42000000,3.1204033010,2.0130108169,1.9472057750,1.1903661047,shadow_linear_connection
-8.40000000,3.1204033010,2.0238744467,1.9607496622,1.2069829963,shadow_linear_connection
